fold,seed,teto,epoca,perda
1,1337,800,79,0.5249381938791158
1,1337,800,80,0.5253299129071336
1,1337,800,81,0.5241496641613684
1,1337,800,82,0.5242267931970414
1,1337,800,83,0.5241371075718034
1,1337,800,84,0.5241990602917702
1,1337,800,85,0.5255224543978416
1,1337,800,86,0.5258671391321637
1,2024,100,1,0.6278155251333869
1,2024,100,2,0.5911527971018707
1,2024,100,3,0.5789388736268339
1,2024,100,4,0.5721269859360021
1,2024,100,5,0.5670001043502702
1,2024,100,6,0.5628620902447162
1,2024,100,7,0.56145189450408
1,2024,100,8,0.5595329165217945
1,2024,100,9,0.5573620654561087
1,2024,100,10,0.5548123629578297
1,2024,100,11,0.5537258101661111
1,2024,100,12,0.552855508861905
1,2024,100,13,0.5512556276788452
1,2024,100,14,0.5505851019278719
1,2024,100,15,0.549537263132555
1,2024,100,16,0.547440974203394
1,2024,100,17,0.5473446373486428
1,2024,100,18,0.5471905869829512
1,2024,100,19,0.5456412035535966
1,2024,100,20,0.5454994866718222
1,2024,100,21,0.5442198516750325
1,2024,100,22,0.5443440100641582
1,2024,100,23,0.5443903912748999
1,2024,100,24,0.5450414011602117
1,2024,100,25,0.5431272663301718
1,2024,100,26,0.5410642756422593
1,2024,100,27,0.541646315985474
1,2024,100,28,0.5401975774384065
1,2024,100,29,0.5416442759197576
1,2024,100,30,0.5408920789474573
1,2024,100,31,0.5394974739916626
1,2024,100,32,0.5396825967774427
1,2024,100,33,0.5380704638877015
1,2024,100,34,0.5379521817163674
1,2024,100,35,0.5386546324707419
1,2024,100,36,0.53768370030027
1,2024,100,37,0.5358004049722724
1,2024,100,38,0.5356447329218248
1,2024,100,39,0.5362369150287183
1,2024,100,40,0.5347621063451643
1,2024,100,41,0.5360968147296321
1,2024,100,42,0.5348549670114012
1,2024,100,43,0.5346301787513836
1,2024,100,44,0.5352252235212995
1,2024,100,45,0.5356510899404889
1,2024,100,46,0.5334119099032064
1,2024,100,47,0.5330248344463346
1,2024,100,48,0.5329269387364819
1,2024,100,49,0.5328510151494109
1,2024,100,50,0.5326538510547403
1,2024,100,51,0.5311757113470748
1,2024,100,52,0.5325530732094661
1,2024,100,53,0.5323266278334245
1,2024,100,54,0.5340178508151328
1,2024,100,55,0.5323305078568282
1,2024,100,56,0.531818042203874
1,2024,100,57,0.5296608487584001
1,2024,100,58,0.5310630214518345
1,2024,100,59,0.5295143204782677
1,2024,100,60,0.5283388307633362
1,2024,100,61,0.5300635389244132
1,2024,100,62,0.5299417954273402
1,2024,100,63,0.5283839291047668
1,2024,100,64,0.5279102838083234
1,2024,100,65,0.528725815448293
1,2024,100,66,0.5288533620351058
1,2024,100,67,0.5286002897064884
1,2024,100,68,0.5281443957551106
1,2024,100,69,0.5265267502356759
1,2024,100,70,0.5276285414943028
1,2024,100,71,0.5270281139379545
1,2024,100,72,0.5291786593507624
1,2024,100,73,0.5258320491731849
1,2024,100,74,0.5269206819760928
1,2024,100,75,0.5251394113174076
1,2024,100,76,0.5266022362788911
1,2024,100,77,0.5284008655079335
1,2024,100,78,0.5267607366088148
1,2024,100,79,0.5252079187516056
1,2024,100,80,0.526213761286947
1,2024,100,81,0.5257052754192387
1,2024,100,82,0.5238143078685347
1,2024,100,83,0.5241258648801054
1,2024,100,84,0.5250080911992289
1,2024,100,85,0.523728221054574
1,2024,100,86,0.5241374106108004
1,2024,100,87,0.5247159734641853
1,2024,100,88,0.5238616496150011
1,2024,100,89,0.5234665157487077
1,2024,100,90,0.5234535881581798
1,2024,100,91,0.5238172816568744
1,2024,100,92,0.5258251730590825
1,2024,100,93,0.5229058848708917
1,2024,100,94,0.5221449929651837
1,2024,100,95,0.5233841666648653
1,2024,100,96,0.5221743669951422
1,2024,100,97,0.5238783608426328
1,2024,100,98,0.5222464919302096
