familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB13,42,1,2014-08-27,2014-08-13,8500,8600,100,0.4021024999965448,0.0636207000061404,0.6317371577846161,0.42964465171132604,0.668128254316251,0.6211464968152867,0.722798695523273,0.7183720930232558,0.7800272037292285,0.6632302507119898
Gradient Boosting,GB13,42,2,2016-04-20,2016-04-06,17100,8600,100,0.5714089999964926,0.053966900013620034,0.5498072061156666,0.3531820340092321,0.6057958351536333,0.5502645502645502,0.6737933268545514,0.6852325581395349,0.7452646161727109,0.5899168130907376
Gradient Boosting,GB13,42,3,2017-12-13,2017-11-29,25700,8500,100,0.7246120999916457,0.05323439999483526,0.5044829108504588,0.30947556952665206,0.5525881965051105,0.5106642291285801,0.6020114942528736,0.6807058823529412,0.7136564759738745,0.5186380082451462
Gradient Boosting,GB13,42,4,2019-07-31,2019-07-17,34200,8500,100,1.1193327000073623,0.06484129998716526,0.4696904097660562,0.3054172062795891,0.553469387755102,0.5186658506731946,0.5932796639831992,0.678235294117647,0.7185488062281902,0.543377487004084
Gradient Boosting,GB14,42,1,2014-08-27,2014-08-13,8500,8600,100,0.45396170002641156,0.09967840000172146,0.6214715492060159,0.4082653471089824,0.6334248246416591,0.6521193092621664,0.6157723095167507,0.7204651162790697,0.7814351762335081,0.6612427392779666
Gradient Boosting,GB14,42,2,2016-04-20,2016-04-06,17100,8600,100,0.5739901999768335,0.057476599991787225,0.5410704446186795,0.35595269459498624,0.5834155972359328,0.5927783350050151,0.5743440233236151,0.7055813953488372,0.7447402790506474,0.5872626113418351
Gradient Boosting,GB14,42,3,2017-12-13,2017-11-29,25700,8500,100,0.7409314000105951,0.05485299997963011,0.49320694865102466,0.3022848438671771,0.51049766718507,0.5563559322033899,0.47162356321839083,0.703764705882353,0.7147849000185003,0.5211352183032835
Gradient Boosting,GB14,42,4,2019-07-31,2019-07-17,34200,8500,100,0.9254306000075303,0.060219200007850304,0.4502940422806158,0.2719072303435149,0.4765154556403051,0.5585882352941176,0.41547077353867695,0.6931764705882353,0.7154912237903229,0.5406198873084956
Gradient Boosting,GB15,42,1,2014-08-27,2014-08-13,8500,8600,100,0.49223870001151226,0.07100440000067465,0.6119130332347256,0.4313277433373109,0.6688623576231646,0.6226366888094022,0.7225022235398755,0.7194186046511628,0.7815764924658852,0.662395049305871
Gradient Boosting,GB15,42,2,2016-04-20,2016-04-06,17100,8600,100,0.6416051000123844,0.06053409999003634,0.5489189965731807,0.35331258472427735,0.6047807596421763,0.552518756698821,0.6679624230644639,0.6866279069767441,0.7448066768707776,0.5863014357302185
Gradient Boosting,GB15,42,3,2017-12-13,2017-11-29,25700,8500,100,0.8034615000069607,0.06732040000497364,0.4967939748050149,0.3118326282601788,0.5545140601874692,0.5113739763421292,0.6056034482758621,0.6812941176470588,0.711303042276972,0.5177595823074108
Gradient Boosting,GB15,42,4,2019-07-31,2019-07-17,34200,8500,100,0.9838478000019677,0.06012049998389557,0.4670314809499195,0.29887336698005684,0.5482600131319764,0.5162287480680062,0.5845292264613231,0.676235294117647,0.7154927124346647,0.5374466777256793
